,chemicalFormula,Band gap value,Band gap units,Band gap method
345,Mn1Se2,0.2,eV,Thermal activation
346,Mn1Se1,1.8,eV,Reflection
347,Mn1Te1,1.25,eV,Reflection
348,Mn1Te2,0.48,eV,Thermal activation
349,Mn1Te1,1.35,eV,Reflection
350,Mn1Te9,2,eV,Thermal activation
351,Mn1I2,4.04,eV,Absorption
352,Mn1I2,4.4,eV,Absorption
353,Fe2O3,2.34,eV,Thermal activation
354,Fe2O3,1.06,eV,Thermal activation
355,Fe2O3,2.2,eV,Reflection
356,Fe1Si2,0.9,eV,
357,Fe1Si1,0.1,eV,Thermal activation
358,Fe1Si2,0.85,eV,
359,Fe1Si2,0.88,eV,
360,Fe1P2,0.4,eV,Thermal activation
361,Fe1S2,1.2,eV,Thermal activation
362,Fe1As2,0.2,eV,Thermal activation
363,Fe1As2,0.2,eV,Thermal activation
364,Fe1Sc2,0.77,eV,Thermal activation
365,Fe1Se2,0.5,eV,Thermal activation
366,Fe1Sb2,0.17,eV,Thermal activation
367,Fe1Sb2,0.05,eV,Thermal activation
368,Fe2Te3,0.6,eV,Absorption
369,Fe1Te2,0.46,eV,Thermal activation
370,Fe2Te3,0.34,eV,
371,Fe1I2,5.15,eV,Absorption
372,Co1O1,0.47,eV,Thermal activation
373,Co1O1,0.73,eV,Thermal activation
374,Co1O1,0.125,eV,Thermal activation
377,Co1Si1,0.045,eV,
378,Co1As2,0.15,eV,Thermal activation
379,Co1As3,0.25,eV,Thermal activation
380,Co1Te1.88,0.2,eV,Absorption
381,Ni1O1,3.7,eV,Electroreflection
382,Ni1O1,0.92,eV,Thermal activation
383,Ni1O1,4,eV,Reflection
384,Ni1O1,3.7,eV,Thermal activation
385,Ni1P2,0.5,eV,Thermal activation
386,Ni1S1,0.12,eV,Thermal activation
387,Ni1S2,0.5,eV,Thermal activation
388,Ni1S1,0.01,eV,Thermal activation
389,Ni1As2,0.05,eV,
390,NiTe,0.23,eV,Thermal activation
391,Cu1N3,4.17,eV,Absorption
392,Cu1N3,4.96,eV,Absorption
393,Cu2O1,2.023,eV,Electroreflection
394,Cu2O1,2.17,eV,Reflection
395,Cu2O1,2.58,eV,Reflection
396,Cu2O1,2.59,eV,Electroreflection
397,Cu2O1,2.02,eV,Reflection
398,Cu2O1,2.02,eV,Reflection
399,Cu2O1,2.67,eV,Reflection
400,Cu1P2,1.4,eV,Absorption
401,Cu1P2,1.51,eV,Absorption
402,Cu2S1,1.21,eV,Reflection
403,Cu2S1,1.93,eV,Reflection
404,Cu2S1,1.7,eV,Absorption
405,Cu2S1,1.8,eV,Thermal activation
