,chemicalFormula,Band gap value,Band gap units,Band gap method
1333,Pb1O2,1.4,eV,Absorption
1334,Pb1O2,1.45,eV,Absorption
1335,Pb1O2,1.5,eV,
1336,Pb1O1,2,eV,Absorption
1337,Pb1O2,2,eV,
1338,Pb1O1,2.6,eV,Absorption
1339,Pb1O1,2.73,eV,Reflection
1340,Pb1O1,3.18,eV,
1341,Pb1O1,3.36,eV,
1342,Pb1S1,0.41,eV,Reflection
1343,Pb1S1,0.286,eV,Magnetoabsorption
1344,Pb1S1,0.307,eV,Magnetoabsorption
1345,Pb1S1,0.285,eV,Reflection
1346,Pb1S1,0.44,eV,Reflection
1347,Pb1S1,0.281,eV,
1348,Pb1S1,0.3,eV,
1349,Pb1S1,0.37,eV,Absorption
1350,Pb1S1,0.41,eV,Absorption
1351,Pb1S1,0.307,eV,Magnetoabsorption
1352,Pb1Cl2,3.82,eV,Absorption
1353,Pb1Cl2,3.94,eV,Absorption
1354,Pb1Cl2,4.1,eV,Reflection
1355,Pb1Se1,0.27,eV,Reflection
1356,Pb1Se1,0.165,eV,Magnetoabsorption
1357,Pb1Se1,0.165,eV,Magnetoabsorption
1358,Pb1Se1,0.165,eV,Absorption
1359,Pb1Se1,0.176,eV,Magnetoabsorption
1360,Pb1Se1,0.176,eV,Magnetoabsorption
1361,Pb1Se1,0.26,eV,Absorption
1362,Pb1Se1,0.27,eV,Reflection
1363,Pb1Se1,0.275,eV,Absorption
1364,Pb1Se1,0.29,eV,Absorption
1365,Pb1Se1,0.31,eV,Reflection
1366,Pb1Se1,0.14,eV,
1367,Pb1Br2,3.2,eV,Absorption
1368,Pb1Br2,3.5,eV,Absorption
1369,Pb1Br2,3.23,eV,Absorption
1370,Pb1Br2,3.31,eV,Reflection
1371,Pb1Te1,0.31,eV,Reflection
1372,Pb1Te1,0.185,eV,Photoconduction
1373,Pb1Te1,0.19,eV,Absorption
1374,Pb1Te1,0.19,eV,Magnetoabsorption
1375,Pb1Te1,0.21,eV,Reflection
1376,Pb1Te1,0.21,eV,Photoconduction
1377,Pb1Te1,0.217,eV,Magnetoabsorption
1378,Pb1Te1,0.19,eV,Reflection
1379,Pb1Te1,0.29,eV,Reflection
1380,Pb1Te1,0.31,eV,Photoconduction
1381,Pb1Te1,0.34,eV,Reflection
1382,Pb1Te1,0.191,eV,
1383,Pb1Te1,0.29,eV,Absorption
1384,Pb1Te1,0.32,eV,Absorption
1385,Pb1I2,2.32,eV,Absorption
1386,Pb1I2,2.41,eV,
1387,Pb1I2,2.535,eV,
1388,Pb1I2,3.01,eV,Absorption
1389,Pb1I2,2.32,eV,Absorption
1390,Pb1I2,2.36,eV,Reflection
1391,Bi2O3,2.6,eV,Absorption
1392,Bi2O3,2.91,eV,Absorption
1393,Bi2O3,3.1,eV,Absorption
1394,Bi2O3,2.15,eV,Thermal activation
1395,Bi2O3,2.58,eV,Photoconduction
1396,Bi2O3,2.85,eV,Absorption
1397,Bi2O3,2.86,eV,Reflection
1398,Bi2O3,2.07,eV,Thermal activation
1399,Bi2O3,2.85,eV,Photoconduction
1401,Bi2S3,1.2,eV,Absorption
1402,Bi2S3,1.4,eV,Absorption
1403,Bi2S3,1.3,eV,Absorption
1404,Bi2S3,0.72,eV,Thermal activation
1405,Bi2S3,1.3,eV,Absorption
1406,Bi2Se3,0.21,eV,Absorption
1407,Bi2Se3,0.4,eV,Absorption
1408,Bi2Se3,0.35,eV,Absorption
1409,Bi2Se3,0.35,eV,Absorption
1410,Bi2Se3,0.161,eV,Absorption
1411,Bi1Br3,2.66,eV,Absorption
1412,Bi1Sb1,0.023,eV,Magnetoreflection
1413,Bi0.85Sb0.15,0.008,eV,
1414,Bi0.97Sb0.03,0.022,eV,
1415,Bi0.9Sb0.1,0.024,eV,
1416,Bi0.85Sb0.15,0.007,eV,Thermal activation
1417,Bi0.92Sb0.08,0.007,eV,Thermal activation
1418,Bi0.7Sb0.3,0.008,eV,Thermal activation
1419,Bi0.85Sb0.15,0.01,eV,Thermal activation
1420,Bi0.91Sb0.09,0.01,eV,Thermal activation
1421,Bi0.92Sb0.08,0.011,eV,Thermal activation
1422,Bi0.9Sb0.1,0.012,eV,Thermal activation
1423,Bi0.9Sb0.1,0.014,eV,Magnetoreflection
1424,Bi0.88Sb0.12,0.014,eV,Thermal activation
1425,Bi0.9Sb0.1,0.015,eV,Thermal activation
1426,Bi0.87Sb0.13,0.018,eV,Thermal activation
1427,Bi1Sb0.15,0.022,eV,Magnetoreflection
1428,Bi2Te3,0.145,eV,Absorption
1429,Bi2Te3,0.15,eV,
1430,Bi2Te3,0.13,eV,Absorption
1431,Bi2Te3,0.14,eV,Thermal activation
1432,Bi2Te3,0.16,eV,
1433,Bi2Te3,0.15,eV,Absorption
1434,Bi2Te3,0.153,eV,Thermal activation
1435,Bi2Te3,0.171,eV,Thermal activation
1436,Bi2Te3,0.2,eV,
1437,Bi1I3,1.73,eV,Absorption
1438,Bi1I3,2.195,eV,
1439,Bi1I3,2.03,eV,Absorption
1440,Bi1I3,2.029,eV,Absorption
1441,Bi1I3,1.922,eV,Absorption
1442,Bi1I3,1.81,eV,Absorption
1443,Bi1I3,1.93,eV,Absorption
1444,Bi1I3,2.52,eV,
1445,Bi,0.015,eV,Magnetoreflection
1446,Bi,0.024,eV,Magnetoabsorption
1447,Bi,0.006,eV,Thermal activation
1448,Th1O2,5.75,eV,
1449,Th1O2,3.5,eV,Absorption
1450,Th1O2,2.56,eV,Thermal activation
1451,Th1O2,3.3,eV,Absorption
1452,Th1O2,5.02,eV,Absorption
1453,Th1O2,3.2,eV,
1454,Th1O2,3.3,eV,Reflection
1455,UO,1.5,eV,Thermal activation
1456,U1O2,2.18,eV,Absorption
1457,UO,0.6,eV,Thermal activation
1458,U1O2,1.3,eV,Thermal activation
