chemicalFormula Clean,Band gap values Clean,Reliability
Pr2O3,0.84,1
Pr1O2,0.88,2
PrO,0.55,2
Pr1F3,5.9,1
Pr1F3,5.3,2
Pr1As1,1,1
Pr2Se3,1.8,1
Pr2Se3,1.9,2
Pr1Sb1,0.66,1
Pr1Te2,1.02,1
Pr1Te2,1.288,1
Pr2Te3,1.3,1
Nd1B6,4.9,1
Nd1B6,3.4,2
Nd1B6,4,2
Nd2O3,0.97,1
Nd1F3,6.15,1
Nd2S3,3,1
Nd1As1,1.04,1
Nd2Se3,1.7,1
Nd2Te5,0.29,1
Nd1Te2,0.3,1
Nd4Te7,0.38,1
Nd2Te3,1.12,1
Nd1Te2,0.48,2
Sm1B6,4.9,1
Sm2O3,1.17,1
Sm2O3,2.27,2
Sm1P1,1.09,1
Sm1S1,0.22,1
Sm2S3,3,1
Sm1S1,0.2,2
Sm2S3,3,2
Sm1As1,1.03,1
Sm1Se1,0.46,1
Sm2Se3,2.3,1
Sm2Se3,2.3,2
Sm1Sb1,0.59,1
Sm1Te1,0.62,1
Eu1N1,1.25,1
Eu1N1,1.47,2
Eu1O1,1.122,1
Eu3O4,0.6,1
Eu2O3,1.7,1
Eu1O1,1.115,2
Eu1O1,1.1,2
Eu1O1,4.3,2
Eu2O3,1.84,2
Eu3P2,1.2,1
Eu1S1,1.645,1
Eu3S4,0.163,1
Eu1S1,1.645,2
Eu1S1,1.65,2
Eu1S1,1.69,2
Eu1S1,3.1,2
Eu3As2,0.6,1
Eu1Se1,1.78,1
Eu1Se1,1.78,2
Eu1Se1,1.78,2
Eu1Se1,1.8,2
Eu1Se1,1.87,2
Eu1Se1,3.1,2
Eu1Te1,1.959,1
Eu1Te1,2,2
Eu1Te1,2,2
Gd1B6,3.6,1
Gd1N1,1.54,1
Gd2O3,1.36,1
Gd2O3,2.9,2
Gd1As1,0.63,1
Gd1Te1,1.3,1
Tb1O2,0.5,1
Tb2O3,0.95,1
Tb4O7,0.4,1
Tb2O3,0.86,2
Tb1F3,,2
Dy1B6,3.3,1
Dy1N1,2.6,1
Dy1N1,2.1,2
Dy2O3,3.08,1
Dy2O3,1.39,2
Dy2S3,2.91,1
Dy2S3,3,2
Dy1As1,1,1
Ho1N1,1.79,1
Ho1N1,1.9,2
Ho2O3,2.84,1
Er1B6,3.5,1
Er1N1,2.4,1
Er1N1,3,2
Er2O3,3.26,1
Er2O3,1.4,2
Er1Se2,1.07,1
Er2Se3,1.66,1
Er3Te4,0.9,1
Er1Te1,0.9,1
Er2Te3,0.9,1
Tm1As1,1.18,1
Yb2O3,2.99,1
Yb2O3,1.53,2
YbS,0.33,1
YbS,0.176,2
Yb1As1,1.02,1
Yb1Sb1,1,1
Lu2O3,3.94,1
Hf1O2,5.55,1
Hf1S2,1.96,1
Hf1S3,2.8,1
Hf1S2,2.9,1
Hf1S3,2.85,2
Hf1Se2,1.13,1
Hf1Se2,2.2,1
TaN,2.3,1
Ta2O5,4.6,1
Ta1S2,0.1,1
W1O3,2.8,1
W1O3,2.7,2
W1O3,2.9,2
W1S2,1.1,1
W1S2,0.45,2
W1Se2,1.35,1
W1Se2,1.49,2
W1Se2,1.45,2
W1Se2,1.35,2
W1Se2,1.57,2
W1Te2,0.05,1
W1Te2,0.075,2
Re1O3,2.3,1
Re1Si2,0.12,1
Re1S2,1.1,1
Re1Se2,0.99,1
Os1P2,1.2,1
Os1S2,2,1
Os1As2,0.9,1
Os1Sb2,0.2,1
Os1Te2,0.3,1
Ir1S2,0.9,1
Ir1Se2,1,1
Pt1O2,0.2,1
Pt1P2,0.8,1
Pt1P2,0.6,2
Pt1S1,0.8,1
Pt1S2,0.75,1
Pt1As2,0.55,1
Pt1As2,0.5,2
Pt1Se2,0.1,1
Pt1Sb2,0.11,1
Pt1Sb2,0.11,2
Pt1Sb2,0.112,2
Pt1Sb2,0.11,2
Pt1Sb2,0.07,2
Au1Cl1,,2
Hg1O1,2.48,1
Hg1O1,2.214,2
Hg1O1,1.02,2
Hg1O1,1.18,2
Hg1S1,0.54,1
Hg1S1,1.998,1
Hg1S1,2.183,2
Hg1S1,2.16,2
Hg1S1,2.095,2
Hg1S1,0.7,2
Hg1S1,2.21,2
Hg2Cl2,3.5,1
Hg2Cl2,3.8,2
Hg2Cl2,2.84,2
Hg1Cl2,4.45,2
Hg1Se1,0.24,1
Hg1Se1,0.6,2
Hg1Se1,0.07,2
Hg1Se1,0.1,2
Hg2Br2,2.6,1
Hg1Br2,3.59,1
Hg1Te1,0.175,1
Hg1Te1,0.303,2
Hg1Te1,0.266,2
Hg1Te1,0.283,2
Hg1Te1,0.15,2
Hg1Te1,0.19,2
Hg1I2,2.13,1
Hg1I2,2.33,2
Hg1I2,2.47,2
Hg1I2,2.322,2
Hg1I2,2.29,2
Hg1I2,2.29,2
Hg1I2,3.045,2
Hg1I2,2.795,2
Hg1I2,2.095,2
Hg1I2,2.11,2
Hg1I2,2.35,2
Hg1I2,2.315,2
Hg1I2,2.19,2
Hg2I2,2.37,2
Tl1N3,3.58,1
Tl2O3,1.4,1
Tl2O3,2.25,1
Tl1S1,1.36,1
Tl1S1,0.98,2
Tl2S1,0.59,2
Tl2S1,0.19,2
Tl1Cl1,3.56,1
Tl1Cl1,3.468,2
Tl1Cl1,3.46,2
Tl1Cl1,3.5,2
Tl1Se1,0.73,1
Tl1Se1,0.57,2
Tl1Se1,0.96,2
Tl1Se1,0.67,2
Tl1Se1,0.7,2
Tl1Se1,0.84,2
Tl1Se1,0.74,2
Tl1Br1,3.05,1
Tl1Br1,3.115,2
Tl1Br1,3.073,2
Tl1Br1,3.1,2
Tl2Te3,0.7,1
Tl2Te1,0.5,1
Tl2Te3,0.69,2
Tl2Te3,0.48,2
Tl2Te3,0.2,2
Tl1I1,2.67,1
Tl1I1,2.88,2
Pb1N6,3.02,1
Pb1N6,2.98,2
Pb1O1,1.936,1
Pb1O1,2.76,1
Pb1O1,2.84,1
Pb2O3,1.67,1
Pb1O2,1.7,1
Pb1O2,2,1
Pb3O4,2.12,1
Pb1O1,2.88,2
Pb1O1,2.86,2
Pb1O1,2.66,2
Pb1O1,2.73,2
Pb1O2,1.4,2
Pb1O2,1.45,2
Pb1O2,1.5,2
Pb1O1,2,2
Pb1O2,2,2
Pb1O1,2.6,2
Pb1O1,2.73,2
Pb1O1,3.18,2
Pb1O1,3.36,2
Pb1S1,0.41,1
Pb1S1,0.286,2
Pb1S1,0.307,2
Pb1S1,0.285,2
Pb1S1,0.44,2
Pb1S1,0.281,2
Pb1S1,0.3,2
Pb1S1,0.37,2
Pb1S1,0.41,2
Pb1S1,0.307,2
Pb1Cl2,3.82,1
Pb1Cl2,3.94,2
Pb1Cl2,4.1,2
Pb1Se1,0.27,1
Pb1Se1,0.165,2
Pb1Se1,0.165,2
Pb1Se1,0.165,2
Pb1Se1,0.176,2
Pb1Se1,0.176,2
Pb1Se1,0.26,2
Pb1Se1,0.27,2
Pb1Se1,0.275,2
Pb1Se1,0.29,2
Pb1Se1,0.31,2
Pb1Se1,0.14,2
Pb1Br2,3.2,1
Pb1Br2,3.5,2
Pb1Br2,3.23,2
Pb1Br2,3.31,2
Pb1Te1,0.31,1
Pb1Te1,0.185,2
Pb1Te1,0.19,2
Pb1Te1,0.19,2
Pb1Te1,0.21,2
Pb1Te1,0.21,2
Pb1Te1,0.217,2
Pb1Te1,0.19,2
Pb1Te1,0.29,2
Pb1Te1,0.31,2
Pb1Te1,0.34,2
Pb1Te1,0.191,2
Pb1Te1,0.29,2
Pb1Te1,0.32,2
Pb1I2,2.32,1
Pb1I2,2.41,2
Pb1I2,2.535,2
Pb1I2,3.01,2
Pb1I2,2.32,2
Pb1I2,2.36,2
Bi2O3,2.6,1
Bi2O3,2.91,1
Bi2O3,3.1,2
Bi2O3,2.15,2
Bi2O3,2.58,2
Bi2O3,2.85,2
Bi2O3,2.86,2
Bi2O3,2.07,2
Bi2O3,2.85,2
Bi1F3,,2
Bi2S3,1.2,1
Bi2S3,1.4,2
Bi2S3,1.3,2
Bi2S3,0.72,2
Bi2S3,1.3,2
Bi2Se3,0.21,1
Bi2Se3,0.4,2
Bi2Se3,0.35,2
Bi2Se3,0.35,2
Bi2Se3,0.161,2
Bi1Br3,2.66,1
Bi1Sb1,0.023,2
Bi0.85Sb0.15,0.008,2
Bi0.97Sb0.03,0.022,2
Bi0.9Sb0.1,0.024,2
Bi0.85Sb0.15,0.007,2
Bi0.92Sb0.08,0.007,2
Bi0.7Sb0.3,0.008,2
Bi0.85Sb0.15,0.01,2
Bi0.91Sb0.09,0.01,2
Bi0.92Sb0.08,0.011,2
Bi0.9Sb0.1,0.012,2
Bi0.9Sb0.1,0.014,2
Bi0.88Sb0.12,0.014,2
Bi0.9Sb0.1,0.015,2
Bi0.87Sb0.13,0.018,2
Bi1Sb0.15,0.022,2
Bi2Te3,0.145,1
Bi2Te3,0.15,2
Bi2Te3,0.13,2
Bi2Te3,0.14,2
Bi2Te3,0.16,2
Bi2Te3,0.15,2
Bi2Te3,0.153,2
Bi2Te3,0.171,2
Bi2Te3,0.2,2
Bi1I3,1.73,1
Bi1I3,2.195,1
Bi1I3,2.03,2
Bi1I3,2.029,2
Bi1I3,1.922,2
Bi1I3,1.81,2
Bi1I3,1.93,2
Bi1I3,2.52,2
Bi,0.015,1
Bi,0.024,2
Bi,0.006,2
Th1O2,5.75,1
Th1O2,3.5,1
Th1O2,2.56,2
Th1O2,3.3,2
Th1O2,5.02,2
Th1O2,3.2,2
Th1O2,3.3,2
UO,1.5,1
U1O2,2.18,1
UO,0.6,2
U1O2,1.3,2
