chemicalFormula Clean,Band gap values Clean,Reliability
Mg1Se1,5.6,1
Mg1Se1,5.63,2
Mg1Se1,5.6,2
Mg2Sn1,0.135,1
Mg2Sn1,0.18,1
Mg2Sn1,0.185,2
Mg2Sn1,0.23,2
Mg2Sn1,0.34,2
Mg2Sn1,0.36,2
Mg2Sn1,0.33,2
Mg2Sn1,0.31,2
Mg2Sn1,0.22,2
Mg3Sb2,0.82,1
Mg3Sb2,0.8,2
Mg1Te1,4.7,1
Mg1Te1,3.6,2
Mg2Pb1,0.041,1
Mg2Pb1,0.1,2
Mg2Pb1,0.1,2
Mg3Bi2,0.1,1
Mg3Bi2,0.1,2
Al1B1,0.82,1
Al1B1,0.5,2
Al1B1,0.74,2
Al1N1,5.74,1
Al1N1,5.88,2
Al1N1,5.9,2
Al1N1,5.9,2
Al2O3,9.5,1
Al2O3,9.9,1
Al2O3,8.7,2
Al2O3,8.56,2
Al2O3,7,2
Al2O3,7.3,2
Al1P1,2.45,1
Al1P1,2.51,2
Al1P1,2.42,2
Al1P1,2.65,2
Al2S3,4.1,1
Al1As1,2.1,1
Al1As1,2.9,1
Al1As1,2.25,2
Al1As1,2.228,2
Al1As1,2.223,2
Al1As1,2.205,2
Al1As1,2.13,2
Al1As1,2.16,2
Al1As1,2.2,2
Al1As1,3.5,2
Al1As1,2.233,2
Al1As1,2.215,2
Al2Se3,3.1,1
Al1Sb1,1.62,1
Al1Sb1,2.218,1
Al1Sb1,1.62,2
Al1Sb1,1.6,2
Al2Te3,2.5,1
Al2Te3,2.5,2
Al2Te3,2.2,2
Al1Bi1,0.4,1
Si1C1,2.2,1
Si1C1,2.86,1
Si1C1,2.39,2
Si1C1,2.6,2
Si1C1,2.86,2
Si1C1,3.33,2
Si1C1,4.4,2
Si3N4,5,1
Si3N4,5.1,2
Si3N4,4.5,2
Si1O2,11,1
Si1O2,10.4,2
Si1O2,8,2
Si1O2,8.4,2
Si,1.12,1
Si,1.166,2
Si,1.17,2
Si,1.165,2
Si,1.16,2
Si,1.16,2
Si,1.12,2
Si1P2,1.89,1
Si1As1,1.45,1
Si1As1,1.48,2
Si1As1,1.57,2
Si1As1,2.2,2
Si1Se2,1.72,1
Si1Se2,1.74,2
Si1Sn1,0.59,1
Si2Te3,1.98,1
Si1Te2,1.85,1
Si1Te2,2.18,1
Si2Te3,2,2
P,0.33,1
P,1.6,1
P,1.4,2
P,0.35,2
P1As1,0.23,1
S,3.82,1
S,4.2,2
S,3.82,2
K1F1,10.9,1
K1F1,10.9,2
K1F1,9.61,2
K1F1,10.3,1
K2S1,2.1,1
K1Cl1,8.5,1
K1Cl1,8.9,2
K1Cl1,7.8,2
K1Cl1,8.69,2
K1Cl1,7.68,2
K2Se1,1.8,1
K1Br1,7.6,1
K1Br1,8,2
K1Br1,7.3,2
K1Br1,6.75,2
K1Br1,7.215,2
K1Br1,7.76,2
K1Br1,6.58,2
K1Br1,7.13,2
K3Sb1,1.8,1
K3Sb1,1,1
K3Sb1,1.4,1
K3Sb1,1.1,2
K3Sb1,1.1,2
K3Sb1,1.1,2
K2Te1,1.9,1
K1I1,6.17,1
K1I1,6.31,2
K1I1,6.25,2
K1I1,6.375,2
K1I1,6.08,2
K1I1,6.2,2
K1I1,6.2,2
K1I1,5.61,2
K1I1,5.92,2
K1I1,6.28,2
Ca1B6,4.5,1
Ca1B6,4.4,2
Ca1B6,3.3,2
Ca1O1,7.7,1
Ca1O1,6.1,2
Ca1O1,7,2
Ca1O1,7.03,2
Ca1O1,7.5,2
Ca1F2,10,1
Ca2Si1,1.9,1
Ca1S1,6,1
Ca1S1,5.38,2
Ca1Se1,4.87,1
Ca2Sn1,0.9,1
Ca1Te1,4.07,1
Ca1I2,5.98,1
Ca2Pb1,0.46,1
Sc1N1,2.6,1
Sc2O3,6,1
Sc2O3,6.2,2
Sc2O3,5.4,2
Sc2O3,1.7,2
Sc2S3,2,1
Ti1C0.9,0.3,1
Ti2O3,0.04,1
Ti1O2,3,1
Ti1O2,3.3,1
Ti2O3,0.02,2
Ti2O3,0.05,2
Ti1O2,3.05,2
Ti1O2,3.5,2
Ti1O2,3.75,2
Ti1O2,2.9,2
Ti1S2,1.24,1
Ti2S3,0.3,1
Ti1S3,0.9,1
Ti1S2,1.95,2
Ti1Se2,0.69,1
Ti1Se2,1.55,2
Ti1Te2,1,1
V1O1,0.3,1
V2O3,0.1,1
V2O5,2.34,1
V1O2,0.65,1
V2O4,0.66,1
V5O9,0.15,1
V4O7,0.8,1
V2O5,2.49,2
V2O5,2.54,2
V2O5,2.3,2
V2O5,2.36,2
V1O2,0.4,2
V2O5,2.32,2
V1O2,0.12,2
V2O5,1.95,2
Cr2O3,1.68,1
Cr1O2,0.23,1
Cr2O3,1.59,2
Cr2O3,1,2
Cr2O3,1.62,2
Cr1Si2,0.35,1
Cr2S3,0.9,1
Cr3Se4,0.015,1
Cr2Se3,0.025,1
Cr3Se4,0.015,2
Cr2Se3,0.15,2
Cr1Sb1,0.2,1
CrTe,0.02,1
Mn1O2,0.26,1
Mn1O1,3.7,1
Mn1O1,1.84,2
Mn1O1,2.6,2
Mn1O2,0.28,2
Mn1O2,0.7,2
Mn1O1,2.2,2
Mn1F2,9.9,1
Mn1F2,10.2,1
Mn1F2,10.24,2
Mn1Al3,0.58,1
MnSi,0.6,1
MnSi,0.8,2
Mn1S1,6.2,1
Mn1S1,6,2
Mn1Se2,0.2,1
Mn1Se1,1.8,1
Mn1Te1,1.25,1
Mn1Te2,0.48,1
Mn1Te1,1.35,2
Mn1Te9,2,2
Mn1I2,4.04,1
Mn1I2,4.4,2
Fe2O3,2.34,1
Fe2O3,1.06,2
Fe2O3,2.2,2
Fe1Si2,0.9,1
Fe1Si1,0.1,1
Fe1Si2,0.85,2
Fe1Si2,0.88,2
Fe1P2,0.4,1
Fe1S2,1.2,1
Fe1As2,0.2,1
Fe1As2,0.2,2
Fe1Sc2,0.77,1
Fe1Se2,0.5,2
Fe1Sb2,0.17,1
Fe1Sb2,0.05,2
Fe2Te3,0.6,1
Fe1Te2,0.46,1
Fe2Te3,0.34,2
Fe1I2,5.15,1
Co1O1,0.47,1
