,index,chemicalFormula Clean,Band gap values Clean,Band gap units,Band gap method,Reliability
1048,1055,Cs1I1,6.37,eV,Absorption,1
1052,1059,Cs1Bi2,0.55,eV,Absorption,1
1053,1060,Cs3Bi1,0.55,eV,Absorption,1
1055,1062,Ba1O1,5.13,eV,Estimated,1
1058,1065,Ba1F2,9.06,eV,Absorption,1
1059,1066,Ba1S1,3.88,eV,Absorption,1
1061,1068,Ba1Se1,3.6,eV,Absorption,1
1063,1070,Ba1Te1,3.4,eV,Estimated,1
1064,1072,La1B6,0.08,eV,Reflection,1
1067,1075,La2O3,1.05,eV,Thermal activation,1
1069,1077,La1F3,6.6,eV,Absorption,1
1070,1078,La2S3,1.32,eV,Thermal activation,1
1071,1080,La2Se3,1.97,eV,Reflection,1
1073,1082,La1Sb1,0.8,eV,Absorption,1
1074,1083,La2Te3,0.1,eV,Thermal activation,1
1075,1084,La3Te4,0.43,eV,Thermal activation,1
1076,1085,Ce1N1,0.7,eV,Estimated,1
1077,1086,Ce1O2,2.68,eV,Thermal activation,1
1081,1090,Ce1F3,4.85,eV,Absorption,1
1082,1091,Ce2S3,1.12,eV,,1
1083,1092,Ce2Se3,1.75,eV,Reflection,1
1086,1095,Ce2Te3,1.4,eV,Thermal activation,1
1087,1096,Pr1B6,4.9,eV,Reflection,1
1088,1097,Pr1O2,0.66,eV,Thermal activation,1
1089,1098,Pr2O3,0.84,eV,Thermal activation,1
1092,1101,Pr1F3,5.9,eV,Absorption,1
1094,1103,Pr1As1,1.0,eV,Absorption,1
1095,1104,Pr2Se3,1.8,eV,Reflection,1
1097,1106,Pr1Sb1,0.66,eV,Absorption,1
1098,1107,Pr1Te2,1.154,eV,Absorption,1
1100,1109,Pr2Te3,1.3,eV,Absorption,1
1101,1110,Nd1B6,4.9,eV,Reflection,1
1104,1113,Nd2O3,0.97,eV,Thermal activation,1
1105,1114,Nd1F3,6.15,eV,Absorption,1
1106,1115,Nd2S3,3.0,eV,Thermal activation,1
1107,1116,Nd1As1,1.04,eV,Absorption,1
1108,1117,Nd2Se3,1.7,eV,Reflection,1
1109,1118,Nd2Te5,0.29,eV,Thermal activation,1
1110,1119,Nd1Te2,0.3,eV,Thermal activation,1
1111,1120,Nd4Te7,0.38,eV,Thermal activation,1
1112,1121,Nd2Te3,1.12,eV,Thermal activation,1
1114,1123,Sm1B6,4.9,eV,Reflection,1
1115,1124,Sm2O3,1.17,eV,Thermal activation,1
1117,1126,Sm1P1,1.09,eV,Absorption,1
1118,1127,Sm1S1,0.22,eV,Thermal activation,1
1119,1128,Sm2S3,3.0,eV,Reflection,1
1122,1131,Sm1As1,1.03,eV,Absorption,1
1123,1132,Sm1Se1,0.46,eV,Absorption,1
1124,1133,Sm2Se3,2.3,eV,Reflection,1
1126,1135,Sm1Sb1,0.59,eV,Absorption,1
1127,1136,Sm1Te1,0.62,eV,Absorption,1
1128,1137,Eu1N1,1.25,eV,Thermal activation,1
1130,1139,Eu1O1,1.122,eV,Absorption,1
1131,1140,Eu3O4,0.6,eV,Thermal activation,1
1132,1141,Eu2O3,1.7,eV,Thermal activation,1
1137,1146,Eu3P2,1.2,eV,Absorption,1
1138,1147,Eu1S1,1.645,eV,Absorption,1
1139,1148,Eu3S4,0.163,eV,Thermal activation,1
1144,1153,Eu3As2,0.6,eV,Thermal activation,1
1145,1154,Eu1Se1,1.78,eV,Reflection,1
1151,1160,Eu1Te1,1.959,eV,Absorption,1
